	PDB	resolution	method	organism	date	affinity	delta_g	affinity_method	temperature	authors	One_digit_id
7922	8gh4	3.8	X-RAY DIFFRACTION	Bos taurus; Homo sapiens	08/30/23					Nikolov, D.B., Saha, N., Xu, K., Goldgur, Y.	8gh4_0
7923	8f6x	3.25	ELECTRON MICROSCOPY	Escherichia phage T2; Homo sapiens; Human metapneumovirus	08/02/23					Zhou, T., Kwong, P.D., Morano, N.C., Ou, L.	8f6x_2
7924	8dmj	3.2	ELECTRON MICROSCOPY	Mus musculus; Nipah henipavirus	07/12/23					Byrne, P.O., Blade, E.G., McLellan, J.S.	8dmj_1
7925	8hbv	2.51	ELECTRON MICROSCOPY	Homo sapiens; SYNTHETIC CONSTRUCT	06/21/23					Chen, L., Kang, Y.	8hbv_0
7926	8g8w	3.8	ELECTRON MICROSCOPY	Escherichia coli (strain K12); Homo sapiens; synthetic construct	06/07/23					Gogoi, P., Jones, S.A., Ruprecht, J.J., King, M.S., Lee, Y., Zogg, T., Pardon, E., Chand, D., Steimle, S., Copeman, D., Cotrim, C.A., Steyaert, J., Crichton, P.G., Moiseenkova-Bell, V., Kunji, E.R.S.	8g8w_0
7927	8g8w	3.8	ELECTRON MICROSCOPY	Escherichia coli (strain K12); Homo sapiens; synthetic construct	06/07/23					Gogoi, P., Jones, S.A., Ruprecht, J.J., King, M.S., Lee, Y., Zogg, T., Pardon, E., Chand, D., Steimle, S., Copeman, D., Cotrim, C.A., Steyaert, J., Crichton, P.G., Moiseenkova-Bell, V., Kunji, E.R.S.	8g8w_1
7928	8hbw	2.57	ELECTRON MICROSCOPY	Homo sapiens; SYNTHETIC CONSTRUCT	06/21/23					Chen, L., Kang, Y.	8hbw_0
7929	8j1n	2.51	ELECTRON MICROSCOPY	Homo sapiens; SYNTHETIC CONSTRUCT	06/21/23					Chen, L., Kang, Y.	8j1n_0
7930	9fzq										9fzq_0
7931	9fzq										9fzq_1
7932	8czz	3.14	ELECTRON MICROSCOPY	Homo sapiens; Human immunodeficiency virus 1	05/31/23					Chen, Y., Pozharskiy, E., Tolbert, W., Pazgier, M.	8czz_3
7933	8g3r	2.3	ELECTRON MICROSCOPY	Homo sapiens; Influenza A virus	05/31/23					Dang, H.V., Snell, G.	8g3r_0
7934	8dy5	2.2	X-RAY DIFFRACTION	Homo sapiens	05/03/23					Luo, J., Boucher, L.E.	8dy5_0
7935	8c7h	0.0	ELECTRON MICROSCOPY	Homo sapiens	03/01/23					Ebenhoch, R., Nar, H.	8c7h_0
7936	7ox4	1.8	X-RAY DIFFRACTION	Mus musculus	12/28/22					De Vos, T., Savvides, S.N.	7ox4_0
7937	8gsf	0.0	ELECTRON MICROSCOPY	Echovirus E3; Mus musculus	12/14/22					Wang, X., Fu, W.	8gsf_1
7938	8gsc	0.0	ELECTRON MICROSCOPY	Echovirus E3; Mus musculus	12/14/22					Wang, X., Fu, W.	8gsc_0
