	PDB	resolution	method	organism	date	affinity	delta_g	affinity_method	temperature	authors	One_digit_id
7713	6nnf	2.762	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	01/14/19					Lai, Y.-T., Kwong, P.D.	6nnf_0
7714	6nnj	2.6	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	01/15/19					Lai, Y.-T., Kwong, P.D.	6nnj_0
7715	6nnj	2.6	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	01/15/19					Lai, Y.-T., Kwong, P.D.	6nnj_1
7716	6nnf	2.762	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	01/14/19					Lai, Y.-T., Kwong, P.D.	6nnf_2
7717	6mu6	2.551	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	10/22/18					Lai, Y.-T., Kwong, P.D.	6mu6_0
7718	6mu7	2.501	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	10/22/18					Lai, Y.-T., Kwong, P.D.	6mu7_0
7719	6mtj	2.336	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	10/19/18					Lai, Y.-T., Kwong, P.D.	6mtj_1
7720	6mtn	2.5	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	10/20/18					Lai, Y.-T., Kwong, P.D.	6mtn_0
7721	6nm6	2.739	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	01/10/19					Lai, Y.-T., Kwong, P.D.	6nm6_1
7722	6nm6	2.739	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	01/10/19					Lai, Y.-T., Kwong, P.D.	6nm6_2
7723	6crq	4.2	ELECTRON MICROSCOPY	HUMAN IMMUNODEFICIENCY VIRUS 1	03/19/18					Pallesen, J., Ward, A.B.	6crq_1
